,Job_title,Company,Location,Urls,Summary
21,Logistics Analyst 2 - Camp Arifjan Kuwait,CACI,Kwara,https://ng.indeed.com/viewjob?jk=044afaffaa3ef890,"Collects, processes, and maintains data for analysis.Provides leadership and guidance to lower level analysts as needed.What You’ll Get to Do:"
22,Finance Analyst,Lidya,Lagos,https://ng.indeed.com/viewjob?jk=8885993669925458,The Finance Analyst position is responsible analyzing financial data and developing profit-focused action plans.Has no complacency and is high energy.
23,Sales Analyst,Brainwave consultancy,Ikeja,https://ng.indeed.com/viewjob?jk=8831069bea97c4b9,Collects data from sales reports for analysis.Develops methods and strategies for assessing large amounts of data.
24,Agency Recruitment and HR Manager,DMTCAgency,Lagos,https://ng.indeed.com/viewjob?jk=828ea0c3aac9c6df,"Email marketers, digital analyst, etc.Online by pulling in public data on company, their employees, on their website.Plastic shield at work stations."
25,Data Support Analyst,None,Nigeria,https://ng.indeed.com/viewjob?jk=b8894cfdb3d082f3,"Basic/Intermediate understanding and use of data science tools such as Python, R, Tableau, etc Possess a clear understanding of data, analytics, metrics and…"
26,"Analyst, Customer Intelligence (Supervisory)",None,Nigeria,https://ng.indeed.com/viewjob?jk=dee4768d5e9aa12d,Mining Of Data From The Enterprise Data Warehouse For Analysis.Auditing Of Customer Relations Data To Ensure Data Integrity And Management.
27,Business Analyst,Intelfort Nigeria Limited,Lagos,https://ng.indeed.com/viewjob?jk=37a2e7b4e3ec7ecc,"A business analyst helps in guiding businesses in improving processes, products, services, and software through data analysis."
28,INFORMATION TECHNOLOGY MANAGER,None,Lagos,https://ng.indeed.com/viewjob?jk=ad762bfe9e4ebb9b,In-depth knowledge of data administration and management processes.Minimum 8 years’ experience in information technology and data management.
29,Data Analyst,Gozem,Onitsha,https://ng.indeed.com/viewjob?jk=56afa3426e90d5ad,We are looking to hire a Data Analyst to join our data team.Data analyst will develop analysis and reporting capabilities.Managing users and user roles.
30,Data Analyst,Phillips Outsourcing,Lagos,https://ng.indeed.com/viewjob?jk=a4f40df0262a2258,"Modern Trade is heavily reliant on data, the data analytics is responsible to consolidating and communicating in a consumable format sharing all insights…"
31,Analyst � Data Governance (Supervisory),None,Nigeria,https://ng.indeed.com/viewjob?jk=b7ffa8a285d54212,"Architecture Modelling Data Modelling Emerging Enterprise Architectures Data Analytics GSM Technology.Data Stewardship, And Custodianship Roles."
32,Data Analyst,Xyples LLC,Lagos,https://ng.indeed.com/viewjob?jk=7ad27243bfbc9d33,"1-2 years of experience in a BI, data science or analyst role in media or tech.SAS Certified Data Scientist (Preferred).Strong NumPy/PANDAS skills a plus."
33,Analyst Job at EjiCareers,EjiCareers,Lagos,https://ng.indeed.com/viewjob?jk=5250061870c109ff,Analysing current and past financial data.2-5 years’ experience as an Analyst.Attention to detail and the ability to identify data patterns.
34,Research Analyst Job at Asset and Equity Group,Asset and Equity Group,Lagos,https://ng.indeed.com/viewjob?jk=86a9430739f68bc3,Compile and analyze data points.Document all data and research procedures.Analyse habits and data available from competitors.
35,Recruitment Analyst,Hugo,Lagos,https://ng.indeed.com/viewjob?jk=bd4bef3450a32cc5,Analyze recruitment data and use inferences to improve recruitment strategy.Hugo Technologies is a leading technology support outsourcing company leveraging…
36,Logistics Analyst 2 - Camp Arifjan Kuwait,CACI,Kwara,https://ng.indeed.com/viewjob?jk=044afaffaa3ef890,"Collects, processes, and maintains data for analysis.Provides leadership and guidance to lower level analysts as needed.What You’ll Get to Do:"
37,Finance Analyst,Lidya,Lagos,https://ng.indeed.com/viewjob?jk=8885993669925458,The Finance Analyst position is responsible analyzing financial data and developing profit-focused action plans.Has no complacency and is high energy.
38,Sales Analyst,Brainwave consultancy,Ikeja,https://ng.indeed.com/viewjob?jk=8831069bea97c4b9,Collects data from sales reports for analysis.Develops methods and strategies for assessing large amounts of data.
39,Agency Recruitment and HR Manager,DMTCAgency,Lagos,https://ng.indeed.com/viewjob?jk=828ea0c3aac9c6df,"Email marketers, digital analyst, etc.Online by pulling in public data on company, their employees, on their website.Plastic shield at work stations."
40,Financial Analyst,Global PFI,Lagos,https://ng.indeed.com/viewjob?jk=544252e94b030836,Interactively disintermediate empowered data whereas distinctive human capital.Distinctively fashion standardized communities vis-a-vis seamless applications.
41,"Analyst, Customer Analytics (Supervisory)",None,Osun,https://ng.indeed.com/viewjob?jk=c2af7a1106d84545,"Job Description To Assist In Collecting, Evaluating, And Preparing Research And/Or Other Complex Statistical Data, Narrative Reports/Presentations And…"
42,Modelling & Forecasting Analyst,None,Osun,https://ng.indeed.com/viewjob?jk=afd2df298baab271,"Knowledge of quantitative econometrics and time series such as VAR, VECM also Dynamic modelling, Panel data, GMM and energy modelling."
43,Damco - Commercial Analyst,None,Nigeria,https://ng.indeed.com/viewjob?jk=f3b97a090b593021,Key Responsibilities Operates existing commercial arrangements that are well defined Makes recommendations on how to manage low risk deviations/exceptions Under…
44,Financial Analyst,BuyPower,Abuja,https://ng.indeed.com/viewjob?jk=2356b5d89aea75b9,"Strong analytical and data gathering skills.We're seeking a Financial Analyst to join our team.Perform market research, data mining, business intelligence,…"
45,"Analyst, Agent Lifecycle Management (Supervisory)",None,Nigeria,https://ng.indeed.com/viewjob?jk=9c5f732360f96f95,"Mobile Money And Financial Services, Agent Management Merchandising Management Sales Analysis And Reporting Project Management Key Account Management Training…"
46,Natural Language Processing Analyst,Xyples LLC,Lagos,https://ng.indeed.com/viewjob?jk=b327fe0a12965fd7,"Lead the ETL process to ingest structured data and annotation processes to enrich unstructured data leveraging a variety of data sources (social media, news,…"
47,Program Analyst,Bridge International Academies,Yaba,https://ng.indeed.com/viewjob?jk=e02062f537e611e8,"Support the production of adhoc analyses, data modeling and information requests.You collect data, you analyze it and make decisions with clear justifications."
48,Junior Analyst(Financial),Afri Recruiters,Lagos,https://ng.indeed.com/viewjob?jk=8b165faa6e326fa0,"The Analyst will perform offsite delivery of business processes including finance,reporting, and data analytics."
49,Pricing Analyst,None,Nigeria,https://ng.indeed.com/viewjob?jk=a4f9f9ffa5770938,"Use Market Analysis Data, Customer Satisfaction Data And Internal Service Costing Data To Develop And Manage Value Based Pricing And Pricing Strategies Across…"
50,User Experience Analyst,None,Nigeria,https://ng.indeed.com/viewjob?jk=ea0b6b2135344727,"Analyzing data and users feedback.Grow digital products through smart hacks and deep partnerships, with minimal emphasis on budgets only Effective use of tools…"
51,Research Analyst,Afri Recruiters,Lagos,https://ng.indeed.com/viewjob?jk=4008adce8c525809,"Collect data on consumers, competitors and market place and consolidate.Information into actionable items, reports and presentations."
52,Business Analyst Job at JERAG Technologies Limited,JERAG Technologies Limited,Lagos,https://ng.indeed.com/viewjob?jk=284391f07ae2f64f,See to Identifying and validating new data sources.Our organization is looking to employ a detailed-oriented and insightful business analyst.
53,DATA ANALYST,Stardom Resources,Lagos,https://ng.indeed.com/viewjob?jk=c3d4f0a4bbd88c0b,"ATPD001 - You appear to be a bot, and we have restricted acccess to Profdir.com .If you believe this is an error please contact us through the contact form."
54,"Analyst, Campaign Management",None,Nigeria,https://ng.indeed.com/viewjob?jk=7ee5c6322db36e02,Excellent Understanding Of Data Manipulation And Interrogation Techniques Minimum Qualification:Expertise In Experimental Test Design Experience With Major…
55,Treasury Middle Office Analyst,None,Nigeria,https://ng.indeed.com/viewjob?jk=214e8c5154f15095,BitPesa Nigeria is recruiting for fulltime Treasury Middle Office Analyst.Sound knowledge of Market risk methodologies & tools Should be particularly good at…
56,Software Programmer Job at BlueSlip Limited,BlueSlip Limited,Lagos,https://ng.indeed.com/viewjob?jk=c8a4d10bf5a564e0,"Work closely with other developers, UX designers, business and systems analysts.Attention to detail and desire to probe further into data."
57,Sr. All Source Analyst Regional SME,CACI,Kwara,https://ng.indeed.com/viewjob?jk=de35194b832106aa,"Navy – Navy Intelligence Specialist, USAF –1N7X1 Human Intelligence Specialist, 1N4X1 Intelligence Fusion Analyst.These Qualifications Would be Nice to Have:"
58,Fraud System Analyst,None,Nigeria,https://ng.indeed.com/viewjob?jk=77ffd0c0dd7d7b9e,Providing Auditors (Internal And External) With Required Data Analysis And Complies With The Audit Report Recommendations.Current Trends In Fraud Detection.
