,0
83,"Ikeja Electric is recruiting Analyst to join its manpower force. Role Purpose Monitor Business Unit / Undertaking Performance, providing support in the areas of analytics and reporting. Responsibilities Coordinate Monthly performance review by the various Undertakings within the Business Unit Collate and interpret data, analyzing results from varied sources such as Fault Log/ Register, Transformer Lost in Circuit, Hourly Load Readings, Feeder Availability, Customer Complaints Log, Energy Delivered etc, from the Business Units / Undertakings using statistical techniques and providing ongoing reports, drawing inference and presenting observations to the business to ensure operational efficiency Monitor BU performance relative to set targets Regularly update the performance dashboard for the Business Unit and Undertakings cascaded from the Head Office Identifying, analyzing, and interpreting collection/ billing efficiency, customer delinquency trends or patterns based on past or historical performance of the business unit/ undertaking. Generates commercial/ technical periodic reports (daily, weekly and monthly) such as collection analysis reports, energy availability reports, sub-station maintenance reports etc as may be required by the management team. Track and report the Business Unit/ Undertaking KPIs such on a monthly basis Ensure compliance to reporting standards by the Undertakings/ Business Unit as required by the Corporate Performance Monitoring Team within the Head Office. Handles adhoc reporting duties as may be required from time to time by the Business Unit Establish and maintain relationships with key stakeholders Provide general support to the Business Managers as may be required Perform any other duty as may be communicated by Corporate Performance Lead or BU Management Team Minimum qualifications Bachelors degree in any of the following disciplines Engineering, Accounting, Economics, Banking & Finance or other numerate discipline 2-3 years relevant work experience, from related sector/ organization with demonstrable understanding of data analytics. Good working knowledge of Microsoft Office suite: Word, Excel and PowerPoint. Technical Competencies Basic knowledge of the power industry and the distribution value chain Strategic management Data Analytics Behavioral Competencies Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Strong problem solving skills Excellent interpersonal negotiation and communications skills Adept at queries, report writing and presenting findings. Good Team player"
84,"Role Purpose To serve as an IT expert participating in a variety of analytical and technical assignments that include Implementation, administration, support and maintenance of a variety of hardware, software, and network products in an information technology infrastructure environment. This role is split between providing daily operational support for existing infrastructure and Project based work leading to the development and deployment of new infrastructure services. The ideal candidate should also have the patience to communicate with a variety of interdisciplinary teams and users. His/her primary goal will be to ensure that our technology infrastructure runs smoothly and efficiently. Responsibilities Ensure all Servers hardware and software are fully operational and take corrective action where necessary Administer, configure and manage web servers (IIS, apache, tomcat, jboss) Administer MS Exchange mail servers Maintain and administer domain controllers with MS Active Directory services Monitor, identify, and resolve production capacity, contention, and resource deficiencies Support the annual IT Audits in the delivery of required data and procedures to ensure compliance with established corporate general controls and information security policy. Install system patches and updates Perform hardware and software upgrades Document and improve current IT infrastructure, processes and procedures Implementation, support, monitoring and maintenance of infrastructure software platforms, including but not limited to server operating systems, messaging and database services, reporting platforms, terminal services, VPN, and all other software-based systems which provide infrastructure underpinning IT Services. Develop operational, installation, configuration and upgrade documentation for communication systems, hardware, security, storage, software and other computer related systems. Assist in carrying out any duties as requested by the IT Management. Develop expertise to train staff on new technologies Perform software product installation, configuration management, maintenance, testing and documentation of VMware and Microsoft related products Ensure highest level of availability, reliability and performance for virtualization platforms and associated products. Carry out any other duty as requested by HOD Minimum qualifications B.Sc. in information Technology or Computer Science or any other related field 3 5 years experience in hands-on System Administration role with a reputable organization Experience with Cloud and Virtual Technologies e.g. VMware Strong knowledge of Windows Active Directory & group policy Microsoft and other industry certifications would be considered an asset Extensive knowledge of Storage Management and Technologies. Hands-on experience with EMC Storage would be an asset Technical Competencies Backup Administration & Disaster Recovery (Hands-on knowledge of Networker and/or Veeam is a plus) Strong knowledge of configuration, management and maintenance of Windows Server 2012/2016 Microsoft Exchange Server 2013/2016 Extensive experience in Windows, Unix and Linux Administration Knowledge of load balancing and clustering Ability to write Windows scripts Behavioral Competencies Communication and Interpersonal Relations Problem Solving and Decision Making Managing Resources Business Focus Highly self-motivated, self-directed, and attentive to detail Ability to present ideas in business-friendly and user-friendly language"
85,"ATPD001 - You appear to be a bot, and we have restricted acccess to Profdir.com . If you believe this is an error please contact us through the contact form. If you find this message outside the Profdir network please visit profdir.com to find the info you requested. ip:169.45.194.144"
86,"AFTj Marketing and Solution is a Digital Marketing and I.T solution company involved in building optimum websites and mobile applications for businesses. We operate an Agile environment and observe the principles of SCRUM Methodology. We are currently in need of a Fullstack web developer who will work remotely. As a Full Stack Developer, you shouldMinimum Qualification: DegreeExperience Level: Entry levelExperience Length: 1 yearJob Description/RequirementsProficiency in the user of React Native is a requirement.Interested candidate should also be proficient in the use of Laravel for developing APIs.Other job requirements include:Proven experience as a Full Stack Developer or similar roleExperience developing desktop and mobile applicationsFamiliarity with common stacksKnowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache), and UI/UX designExcellent communication and teamwork skillsGreat attention to detailResponsibilitiesWork with development teams and product managers to ideate software solutionsDesign client-side and server-side architectureBuild the front-end of applications through appealing visual designDevelop and manage well-functioning databases and applicationsWrite effective APIsTest software to ensure responsiveness and efficiencyTroubleshoot, debug and upgrade softwareCreate security and data protection settingsBuild features and applications with a mobile responsive designWrite technical documentationWork with data scientists and analysts to improve softwareImportant Safety Tips1. Do not make any payment without confirming with the Jobberman Customer Support Team."
87,"Unit Head - Listings Analyst Job Title: Unit Head - Listings Analyst Location: Lagos Division: Legal and Regulation Division Department: Listing Regulation Department Role: Unit Head- Listings Analysis, Listing Regulation Report to: Grade: Deputy Manager - Senior Manager Estimated Date of Resumption: Wednesday, February 1, 2017 Job Summary The Nigerian Stock Exchange (""The Exchange"") services the largest economy in Africa, and is championing the development of Africas financial markets. The Exchange offers listing and trading services, licensing services, market data solutions, ancillary technology services, and more. The Exchange continues to evolve to meet the needs of its valued customers, and to achieve the highest level of competitiveness. It is an open, professional and vibrant Exchange, connecting Nigeria, Africa and the world. The Exchange needs an industry professional with a strong personality, good people management skills and the ability to work as a team player to support the Department and Division. The individual will be required to have a thorough understanding of The Exchanges policies, overall mission and strategy, as well as a strong finance/legal background experience preferably with experience from a listed company. The Team Lead will report to the Head of Department who has the overall responsibility for the administration and execution of the activities of the Listings Regulation Department by ensuring that listing applications meet The Exchanges listing requirements, ensuring compliance of listed companies with The Exchanges listing regulations and enforcing the listings rules in a manner that is fair efficient and transparent. Key Responsibilities Receive applications from companies and government and assign to officers Assign officers and where necessary, attend facility visits of new companies seeking listing Review draft appraisal and ensure that they are of high standards Ensure that appraisals are circulated to DH and CEO 10 days before QCN Forward approved appraisals from CEO to Council Secretariat for circulation to QCN members within the prescribed time frame Facilitate Regulatory meetings with issuers Prepare Memo for EXCO for migrating companies to Premium Board Present appraisals to QCN and ensure that recommendations to QCN are in line with NSEs objective and overall best interest of the market. Follow up with Council Secretariat to ensure decisions of QCN are circulated to applicants and implemented by other stakeholders as appropriate Document knowledge of Units Role and function via process flow Facilitate Graduate Trainee Programs and ATS sessions and Interviews Coach new hires and Graduate Trainees within the Unit Carry out the streamlining of listing process with SEC by researching and aligning with best global practice Track new regulatory rules and policies and align them with NSE processes and procedures Evaluate new rules and regulations before they are exposed to stakeholders and make recommendations where necessary Propose and formulate new rules, policies and polices Collaborate with internal stakeholders on matters relating to listings prospects Support the enterprise strategy of the organization Liaise with Product Management Department on matters relating to Market Makers for listing of new companies Representing The Exchange in meetings Functional Competencies: Analytical Thinking Management Acumen Behavioural Competencies: Accountability Attention to Detail Inter-Personal Relations Leadership Qualifications and Experience Minimum of B.Sc in Accounting, Finance, Economics, Statistics, Law or related fields MBA or Professional qualifications in Finance, i.e., ACA, ACCA, CPA, CFA etc Minimum of 5 to 10 years work experience in the financial services sector Application Closing Date 4th January, 2017."
88,"Job DescriptionMore About the Role:Contribute to a critical mission supporting Operation Inherent Resolve with Geospatial Intelligence Analysts exploit imagery, imagery products (including Advanced Geospatial Intelligence) and geographic products and data to create intelligence solutions for the Warfighter and senior government officials.Support Special Operations with PED/FMV analysis.Queries, assesses, integrates, manipulates, exploits, extracts, and analyzes digital data and imagery (full spectrum literal and non-literal), both geospatial and research databases, and various ancillary sources.Completes data analysis and evaluation, geospatial data reformat and conversion, and photo interpretation. Performs application engineering development; processes digital imagery; customizes product generation; researches and gathers information; performs customer information analysis.Translates GEOINT requirements into appropriate requests for imagery or queries using all available imaging sensors or GEOINT data bases.Interacts with professional colleagues to communicate research mission, issues, and geospatial requirements.Downloads web-based data and prepare/process for exploitation.Performs intelligence analysis on multiple sources of data, including Electro-Optical (EO), Spectral, Thermal Infrared (TIR), Ground Moving Target Indicator (GMTI), Synthetic Aperture Radar (SAR), Overhead Persistent Infrared (OPIR), and map-based software.Performs data fusion by combining various types of data (EO, TIR, SAR, etc.) to create a product with an increased level of understanding of the targeted area than can be achieved with a single data source.You’ll Bring These Qualifications:Requires an active TS/SCIAssociates Degree OR four years of relevant experience in Intelligence Operations OR equivalent experienceMinimum of four years’ current experience in GEOINT, Remote Sensing, Cartography, Geography, or related field Analysis experience with the following MOS 35G, 350G, USCM 0261, 0241, AF 1N1X, 14N3, OR other DoD OR Government agency equivalantExpert knowledge of GEOINT analysis and production operationsExcellent written communication, research, and analytic skillsExcellent oral communication skills for presenting, briefing, or communicating analytical research material including the use of multimedia presentations Expert ability to manage research and coordination for projectsThese Qualifications Would Be Nice to Have:Associates degree or four years of relevant experience in Intelligence OperationsExpert knowledge of Army structure and defense level intelligence operations: intelligence, collection, fusion, analysis, production, dissemination for intelligence databases and productsSpecialized training from any intelligence collection and analysis school or certificationProficient knowledge of state-of-the-art intelligence analysis toolsKnowledge and experience in GEOINT production operationsExperience writing analytic products following IC directives and guidanceDetailed understanding of the various GEOINT phenomenology’s and collection operationsWhat We Can Offer You:We’ve been named a Best Place to Work by the Washington Post.Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.We offer competitive benefits and learning and development opportunities.We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.Job LocationKW-International-KUWAITCACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities."
89,"Asset and Equity Group - We are a Team of multi-talented and dedicated professionals grounded in the basic principles of excellent promise delivery, customer-centric, team work, integrity, responsible citizenry and respect for individuals. We focus on cultivating and maintaining relationships as our core values are Probity, Competence and Finesse with over14 Years of outstanding results.We are recruiting to fill the position below:Job Position: Full Stack DeveloperJob Location: LagosResponsibilitiesWork with development teams and product managers to ideate software solutionsDesign client-side and server-side architectureBuild the front-end of applications through appealing visual designDevelop and manage well-functioning databases and applicationsWrite effective APIsTest software to ensure responsiveness and efficiencyTroubleshoot, debug and upgrade softwareCreate security and data protection settingsBuild features and applications with a mobile responsive designWrite technical documentationWork with data scientists and analysts to improve software.RequirementsProven experience as a Full Stack Developer or similar roleExperience developing desktop and mobile applicationsFamiliarity with common stacksKnowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX designExcellent communication and teamwork skillsGreat attention to detailOrganizational skillsAn analytical mindDegree in Computer Science, Statistics or relevant field.Method of ApplicationInterested and qualified candidates should send their CV to: aanderecruits@gmail.com using the Job Title as the subject of the mail."
90,"About Mercy CorpsMercy Corps is a leading global organization powered by the belief that a better world is possible. In disaster, in hardship, in more than 40 countries around the world, we partner to put bold solutions into action — helping people triumph over adversity and build stronger communities from within. Now, and for the future.Program / Department SummaryMercy Corps Nigeria implements a variety of programs with the vision of a Nigeria in which all people are empowered, engaged, resilient and secure. The organization’s programs are implemented in twelve states, mainly in north, North Central and north-east Nigeria and Lagos. Our work covers the following sectors: economic development, livelihoods/food security, adolescent girls & boys empowerment, financial resilience, conflict mitigation and humanitarian response. Common themes include community engagement, inclusive development, gender, and working in partnership with local government, the private sector and civil society actors.Nigeria is a complex, sophisticated society – and the crisis in its north-east has many dimensions. Mercy Corps is committed to the goal of better understanding crisis contexts in order to deliver better impact for the people and communities we serve. Only by understanding, in real time, not only what has happened but the political, social and economic dynamics underlying conflict and displacement can we hope to optimize impact and influence. Globally, Mercy Corps has humanitarian analysis teams currently deployed in Syria, Libya and Yemen and has the intent of both expanding the reach of this analysis and deepening its ability to match data-driven machine learning with human insights.This position will pilot the development of rich, timely context analysis in selected north-eastern states, including mapping of conflict dynamics and the humanitarian situation, to inform program decision-making, assurance of safety and security for Mercy Corps staff and assets and those of our partners and the communities we serve, and to shape policy messages to local, regional, national and international actors.General Position SummaryThe Team Lead manages the Nigeria Crisis Analysis Team which seeks to assist the country program in understanding the complex crisis situation in north-east Nigeria. The Team Lead will utilize an extensive network of field contacts – both within Mercy Corps’ sphere and outside of it – to gather information on different dimensions of the crisis, consolidate it and analyze it for critical insights. Areas of focus for data gathering will include, inter alia, the social, political, and economic dynamics that shape the crisis and its manifestations in the north-east; consolidation of varying humanitarian indicators; and conflict reporting.The Team Lead will develop a strong network of information and opinion sources; be able to scan, filter and interpret news and social media outlets; and be familiar with local, national and international power holders and influencers and how they interact to shape the crisis situation and impact humanitarian operations.She/he will produce clear, concise and timely analytical reports that can inform Mercy Corps’ own program, security and operational decision-making, as well as be fed into policy development and advocacy as appropriate at local, federal and international levels (both by Mercy Corps and by the wider NGO community.) In addition to frequent and regular context reports, the Team Lead will coordinate more in-depth occasional thematic or situation reports, act as a focal point on humanitarian issues with Mercy Corps’ global Research and Learning and Policy and Advocacy teams (as guided by the Country Director), and provide regular briefings to programs and operations key staff and teams as directed and appropriate. The Team Lead will also provide briefings to key stakeholders in external agencies and members of the donor community as needed. Also support country team in various needs assessment exercises for the purpose of new program design and adaptations.Essential Job ResponsibilitiesSystems and Reporting Manage the growth and strategy of Nigeria Crisis Analysis Team in close collaboration with Country Director, building systems and processes to sustain impactful and consistent analysis. Cultivate targeted audiences both internally and externally for high quality contextual analysis. Develop and grow a network of field contacts to serve as sources in shaping and developing a rich understanding of the political, social and economic environment in areas of focus. Maintain a constant scan of traditional and social media in order to inform analysis of the humanitarian situation. Develop and maintain an in-depth understanding of Mercy Corps’ programming and the humanitarian situation in general in areas of focus and for populations of particular interest (e.g. youth). Consolidate and digest diverse data to produce regular broad-based context reports, flash reports in response to fast moving events and occasional thematic or situation reports (illuminating specific issues or locations in greater depth) as directed by the Country Director (Nigeria) and the Senior Director for Humanitarian Analysis (global). Oversee use of technology platforms to interpret and map humanitarian and conflict data. Translate analysis and insights into program materials as directed and appropriate. Liaise as appropriate with country, regional and global Mercy Corps staff engaged in advocacy and influence work. Represent Nigeria Crisis Analysis Team to key external stakeholders and core internal programming/operational focal points as a reliable, up-to-date and timely source of insights in the northeast.Programming and Operations Ensure that communication of analysis and insights to internal and external stakeholders is appropriate and regular. Liaise with programs and operations staff as needed and directed to develop a solid understanding of program approaches, content and implementation modalities. As directed by Country Director, participate in Senior Management Team discussions to provide analytic insights and risk assessments where necessary. As directed by the Country Director, provide analytic insights and risk assessments as part of crisis management related to northeast Nigeria. Develop further technology based insights to leverage the use of data in analysis Develop and maintain an awareness of Mercy Corps’ culture and values as well as humanitarian principles and international humanitarian law. As directed by the Country Director, advise on access issues pertinent to security situations and any resulting humanitarian needs. Ensure effective communication within analysis team and ensure the accuracy, brevity and clarity of analysis updates, briefings and incident reports to internal and external stakeholders in a timely manner Stay abreast of Mercy Corps program assessments and new business activities. Support these teams and special projects with analysis and insight where appropriate. Represent the Nigeria Crisis Analysis Team in Mercy Corps Nigeria committees or ad hoc task force activities.Training and Outreach Supervise, provide guidance to, and support the professional growth of the Nigeria Crisis Analysis Team staff to ensure consistent quality of outputs and a high functioning, collaborative team. Assist in promoting good contextual understand across Mercy Corps staff in Nigeria Coach colleagues and improve their skills in risk and vulnerability assessments to include political, social and economic context analysis. As needed and directed, participate in Mercy Corps regional and global events, gatherings and networks to represent Nigeria’s humanitarian analysis capacity.Security Ensure own compliance with security procedures and policies as determined by country Proactively ensure that team members operate in a secure environment and are aware of policies.Accountability to Participants and Stakeholders Mercy Corps team members are expected to support all efforts toward accountability, specifically to our program participants, community partners, other stakeholders, and to international standards guiding international relief and development work. We are committed to actively engaging communities as equal partners in the design, monitoring and evaluation of our field projects.Supervisory ResponsibilityAnalyst, Information and Reporting Officer, Information Assistant (Nigeria Crisis Analysis Team)AccountabilityReports Directly To: Country Director (Abuja).Works Directly With: Country Director, Deputy Country Director (Abuja), Program Management (Nigeria); Senior Director of Humanitarian Analysis (global); Senior Advisor – Crisis Analytics (global); Regional Humanitarian Advisor and Regional Security Advisor (WCNA).Knowledge and Experience Masters degree in a social sciences or investigative journalism; or equivalent work experience Understanding of humanitarian principles and the humanitarian system at national and international levels 3 years field-based experience in complex and insecure settings and preferably a conflict environment Experience in liaising with civilian authorities, as well as with regional, national and international institutions Ability to build and maintain networks of information sources across different sectors, groups and locations Experience with information collation and analysis, mapping and use of infographics to frame analysis Proven excellent writing skills, displaying an ability to convey complex information concisely Highly developed interpersonal communication skills including influencing, negotiation and coaching Willingness to work and travel in often difficult and insecure environments Competency in Internet and Microsoft Office systems including Word, Excel, PowerPoint, Access and other database/mapping systems Fluency in English (written and spoken) is required; knowledge of regional languages in north-east Nigeria preferred Knowledge and understanding of northeast Nigeria is strongly preferred.Success factorsThis is a pilot initiative – so the successful job holder will need entrepreneurial drive to develop and establish humanitarian analysis as a critical part of Mercy Corps’ Nigeria program and an essential component of its global commitment. The Team Lead will need to balance a committed team approach, consistent with Mercy Corps’ values, and the ability to work and deliver on his/her own initiative. She/he will need sharp investigative and analytical skills and be able to quickly digest complex information and produce concise insights pertinent to the humanitarian situation.Living Conditions / Environmental ConditionsThe position is based in Maiduguri, Nigeria. If he/she is not a Nigerian national, please note that this assignment is unaccompanied. Team members in this location are expected to follow all Mercy Corps security protocols, which may change from time to time, relevant to the prevailing risk environment. Medical services are available. Electricity is available but is predominantly through generator. Running water, Internet connectivity and communication are reliable. Short, but frequent, trips to outlying areas will be necessary.Mercy Corps team members represent the agency both during and outside of work hours when deployed in a field posting or on a visit/TDY to a field posting. Staff are expected to conduct themselves in a professional manner and respect local laws, customs and Mercy Corps’ policies, procedures, and values at all times and in all in-country venues.Ongoing LearningIn support of our belief that learning organizations are more effective, efficient and relevant to the communities we serve, we empower all team members to dedicate 5% of their time to learning activities that further their personal and/or professional growth and developmentDiversity, Equity & InclusionAchieving our mission begins with how we build our team and work together. Through our commitment to enriching our organization with people of different origins, beliefs, backgrounds, and ways of thinking, we are better able to leverage the collective power of our teams and solve the world’s most complex challenges. We strive for a culture of trust and respect, where everyone contributes their perspectives and authentic selves, reaches their potential as individuals and teams, and collaborates to do the best work of their lives.We recognize that diversity and inclusion is a journey, and we are committed to learning, listening and evolving to become more diverse, equitable and inclusive than we are today.Equal Employment OpportunityMercy Corps is an equal opportunity employer that does not tolerate discrimination on any basis. We actively seek out diverse backgrounds, perspectives, and skills so that we can be collectively stronger and have sustained global impact.We are committed to providing an environment of respect and psychological safety where equal employment opportunities are available to all. We do not engage in or tolerate discrimination on the basis of race, color, gender identity, gender expression, religion, age, sexual orientation, national or ethnic origin, disability (including HIV/AIDS status), marital status, military veteran status or any other protected group in the locations where we work.Safeguarding & EthicsMercy Corps is committed to ensuring that all individuals we come into contact with through our work, whether team members, community members, program participants or others, are treated with respect and dignity. We are committed to the core principles regarding prevention of sexual exploitation and abuse laid out by the UN Secretary General and IASC. We will not tolerate child abuse, sexual exploitation, abuse, or harassment by or of our team members. As part of our commitment to a safe and inclusive work environment, team members are expected to conduct themselves in a professional manner, respect local laws and customs, and to adhere to Mercy Corps Code of Conduct Policies and values at all times. Team members are required to complete mandatory Code of Conduct elearning courses upon hire and on an annual basis."
91,"Expected Key Results (Detailed KPIs) Business Scope and Specification Management Conduct feasibility studies, from a technological and organizational perspective, and document findings Complete cost-benefit analysis on implementing changes to business processes, products or business unit structure Document as is and to be processes and describe the changes required to migrate to the to be capability. Contribute to developing business cases to quantify current costs to serve; investment in project; and return on investment Market Assessment and Competitive Analysis Work closely with business development team, sharing knowledge, discussing ideas and helping the team to achieve targets. Ensures compliance with ipNX values, policies and standards, and ensures compliance will all local statutory requirements. Educational Qualifications & Functional Skills: B.SC Engineering / Computer Science / Marketing / Sales / related disciplines Understanding Communications Network, Experience in a b2b, B2C sales environment; consistent track record of success in achieving product effectiveness and customer experience targets. Demonstrates a high level of organization and quality with Multitasks efficiency & priority setting. Good Microsoft office suite competence, CRM competence, including Visio Exemplary communication skills both face to face and over the telephone. Ability to communicate effectively at all levels of an organization. Work Experience: At least 3 years experience within the telecoms space; knowledge of the market, competitor behavior and strategy, including related product dynamics and product management Must demonstrate interpersonal capabilities Must demonstrate ability to model data and processes, experience in implementing process change and producing supporting documentation, documenting and executing test scripts experience, experience in writing business functional and non-functional requirements documents and business cases. Understanding of user needs and a business outcome approach. Experience in use case documentation. Other Requirements: Customer Focused Action oriented Result Driven Cultivate Innovation Ability to optimize work processes Resilience Self-Development Ensures Accountability Develops Talent Drives Engagement Drives Vision & Purpose Excellent Decision Quality Deadline: 31 December, 2017."
92,"Role Summary/Purpose: Provide the financial analysis for GO SSA team with the goal of driving base cost planning, analysis & system/process implementation as well as support the regional FP&A Manager. Develop and implement key metrics to drive focus on cost control, simplification, expand the operating structure and rigor around key processes (BP, SII, OP) and analytics. Build and continually enhance regional reporting capability within the region and in partnership with peers. Essential Responsibilities: Monthly/Quarterly closing lead monthly & quarterly closing process with centers and coordinate HQ reporting - Base cost analysis coordinate base cost analysis, prepare risks & opportunities summaries for review with the regional GO ROL & FP&A Manager & report out actual performance vs. plan - Management pack analyze and organize financial data appropriately and lead quarterly P&L review with GO ROL & function leaders - Cost center creation including CCL cost center, ME-LE-CC hierarchy, project dimension, ref ID act as pivot point between centers and HQ in creating CCL/Project dimension and ref ID's; maintain and update cost center consolidated list - Ownership of pacing closing items work closely with Ops & Controllership to regularly pace the P&L for the quarter to plan & on a daily basis during closing. Provide analysis of Variable OM to GO FP&A manager, drive corrections with centers to ensure all costs are billed to business and report out on status to HQ - Base cost planning own planning sessions including OP, SII, BPs & support short/long range financial and business plans. Ensure planning cycle and reporting requirement deadlines are met. - Provide pre-quarter estimate for HQ prepare pre-quarter estimates that are grounded on actuals and up-to-date business decisions. - Ad-hoc report for HQ, ROL & GO pillar leaders provide variance analysis and ad-hoc reports as required by HQ, function leaders, etc. - Post mortem drive post mortem after closings to drive improvements at the local/global level. - Perform monthly headcount reconciliation - Ensure complete and accurate accrual booking and regular review of aging. - Managing all aspects relating to the implementation of reporting tools; automating and simplifying processes to increase productivity and interest of the role Qualifications/Requirements: - Bachelor in Accounting/ Finance / Economics or equivalent studies (Finance related Masters Degree preferred) - Minimum 8 years' hands on experience relevant to the tasks listed in the essential responsibilities. - English language skills essential - Strong analytic mindset - Strong Excel proficiency - Adaptable/flexible: open to change in response to new information, different or unexpected circumstances, and/or ambiguous situations - A valid NYSC discharge or exemption certificate will be required, please indicate completion dates clearly on your resume (FOR NIGERIANS ONLY) - Must have valid authorization to work full-time without any legal restriction in country where the role is based. Desired Characteristics: - Must be self-motivated & goal driven - Must work independently towards meeting strategic objectives set by the regional FP&A manager - Good ability to communicate both verbally and in writing - Strong analytical ability and eye for detail - Ability to manage multiple / conflicting priorities - Ability to present data in a simple and clear format, and adapt style to the audience - Solid Understanding of accounting principles"
93,"British American Tobaccois looking for aCorporate Finance Analyst-Accounts Payablein ourLagos, Nigeriaoffice. Main Deliverables: Monthly reconciliation of key vendors accounts and balance confirmation. Monthly reconciliation and sign-off of all Procure to Pay creditors balance sheet accounts. Drive compliance in P2P process in the full documentation of evidences required by SOX. Support the delivery of a satisfactory YE SOX audit. Drive the reduction in aged and outstanding creditor balances. Timely follow up with employees to close out T&E actions and long outstanding buffer items. Monthly tracking of reduction in GRIR balances above 60 days. Preparation, review and communication of the weekly payment run schedule in line with yearly payment calendar. Management of open items for all foreign and local vendors. Maintain excellent working relationship with Global Business Service Team in delivery the P2P objectives. Records management of the Financial Accounting work group. Support vendor master data management. Vendors and employees query management. Main requirements: Between 3-5 years of relevant experience. University Degree / Certificate from an accredited academic institution in Accounting or Business Administration. Experience with another multinational and knowledge of SAP an advantage. Professional qualification in Accounting (ACA, ACCA,CIMA, CPA) is an added advantage. Excellent communication. Ability to present clear and concise information. Ability to work effectively and harmoniously with colleagues from varied cultures and professional backgrounds. Ability to meet deadlines and work under pressure. Good level of computer literacy; personal commitment, efficiency, flexibility, drive for results."
94,"DreamLabs Nigeria Limited is an indigenous Nigerian company that competes globally in quality and service. We work with clients to have a good and clear understanding of their organizations to proffer software solutions that are driven by actual needs and value. We also collaborate with originators of great ideas to co-found fast growing internet companies by leveraging on existing skill set and partnerships.Location:AbujaWhat We DoWe are technology solutions providers, full digital agency and pre-seed investors in technology companies.Where do you come in?The role of the Business Analyst is a multifaceted role that supports the design and development of both custom and core product solution features. The Business Analyst works with domain experts to solicit and identify business requirements, address usability concerns, and document comprehensive solutions for Dream Lab’s ProjectsYou will be required to:Provide documentation support for requirements gathering; process analysis; gap analysis; design of new functionality; and product testing.Participate in project walkthroughs: business requirements gathering, design walkthrough, functional test plans and implementation sessions.Develop periodic project progress reports.Manage written communications between stakeholders and internal business units.Manage and maintain content management and control processes and toolsAssist in presentations by configuring software, customizing Microsoft PowerPoint decks, populating RFP's and proposals, and meeting with clients to represent our offering.Provide strategic, technical and operating assistance and guidance to the Business Development Lead.Travel as required to perform duties effectivelyProject related competenciesAnalysis and Solution DefinitionDocuments client organisation’s direction, structure, business processes and requirements.Researches client organisation’s industry and competitive position.Assists in the collection and consolidation of required information and data.Technical Documentation and Proposal DevelopmentAccurately and efficiently writes technical proposal solutionsAssembles and documents requirements for proposal development and submissionProject ExecutionUnderstands project plans and is able to clearly articulate roles, project goals, and timelines.Takes input from supervisor and able to appropriately apply comments/feedback.Adheres to project standards defined by project management.Accurately employs our methodology and documentation tools.Proactively carries out project support /administrative functions.Establishes responsible deadlines and personal work plans and manages time effectively.CompetenciesCommunicationListens to others and accepts input from team members.Clearly articulate ideas and thoughts verbally.Accurately prepares written business correspondence that is coherent, grammatically correct, effective and professional.Technical UnderstandingUnderstands basic software, hardware, Internet and client/server architectures.Proficient in Microsoft Office suite.Problem SolvingProposes solutions to problems and considers timeliness, effectiveness, and practicality in addressing client needs.Generates innovative solutions by approaching problems with curiosity and an open mind, using existing information to its fullest potential.Professional qualitiesSelf LeadershipDisplays a positive attitude.Demonstrates flexibility in day-to-day work.Sets high standards of performance for oneself.TeamworkEstablishes harmonious working relationships with team members.Appreciates each team member's contributions and values each individual member.Client ManagementValues internal and external clients and responds to their needs as they arise.Establishes effective working relationship with clients.Follows established communication guidelines.Uses good judgement in what and how to communicate with clients.Organisational responsibilitiesInnovator DevelopmentUnderstands the professional development process and becomes actively involved by setting challenging goals and meeting them through continuous learning.Seeks input from mentors and supervisors.Actively applies feedback received to day-to-day work and strives to improve performance.Internal OperationsAccurately completes and submits time and expense reports in a timely mannerAccurately completes and submits status reports in a timely mannerComplies with all company policies and proceduresYou will need to haveBSc in Science, Engineering or Business Management related coursesMinimum of 3 years demonstrated experience in a Business Analyst roleProfessional Certification in Business Analysis is a MUSTWhat you should expectCompetitive salary and commissionsPaid annual leave.A beautifully inspiring office space."
95,"ATPD001 - You appear to be a bot, and we have restricted acccess to Profdir.com . If you believe this is an error please contact us through the contact form. If you find this message outside the Profdir network please visit profdir.com to find the info you requested. ip:169.44.161.95"
